,xxx
2898,[C:15](=[C:16]([c:17]1[c:18]([H:26])[c:19]([H:27])[c:20]([H:28])[c:21]([H:29])[c:22]1[H:30])[H:25])([H:23])[H:24].[C:1]([C:2]([C:3]([H:4])[O:5][C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9]
2899,[C:16]([H:17])([H:18])[H:19].[C:1]([O:2][C:3](=[O:4])[C:5](=[C:6]([H:11])[H:12])[C:7]([H:13])([H:14])[H:15])([H:8])([H:9])[H:10]
2900,[C:15]([H:19])([H:20])[H:21].[C:1]([C:2](=[C:3]([H:4])[H:5])[C:6](=[O:7])[N:8]([H:13])[H:14])([H:9])([H:10])[H:11].[H:12][O:16][C:17](=[C:18]([H:23])[H:24])[H:22]
2901,[C:18]([C:19]([H:20])[H:21])([H:22])([H:23])[H:24].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[O:7][H:17])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
2902,[C:1]([C:2]([C:3]([H:4])([C:5]([C:6]([H:14])([H:15])[H:16])([H:12])[H:13])[C:17]([C:18]([N:19]([C:20](=[O:21])[H:26])[H:25])[H:24])([H:22])[H:23])([H:10])[H:11])([H:7])([H:8])[H:9]
2903,[C:15](=[C:16]([c:17]1[c:18]([H:26])[c:19]([H:27])[c:20]([H:28])[c:21]([H:29])[c:22]1[H:30])[H:25])([H:23])[H:24].[C:1]([C:2]([C:3]([H:4])([H:5])[H:12])[C:6](=[O:7])[N:8]([H:13])[H:14])([H:9])([H:10])[H:11]
2904,[C:1]([O:2][H:23])([H:4])([H:5])[H:6].[O:3][N:11]([C:9]([C:8]([C:7]([H:14])([H:15])[H:16])([H:17])[H:18])([C:10]([H:20])([H:21])[H:22])[H:19])[C:12](=[O:13])[H:24]
2905,[C:1](=[C:2]([C:3]([H:9])([H:10])[H:11])[C:4]#[N:5])([H:7])[H:8].[H:6][O:16][C:15]([C:13]([C:12]([H:18])([H:19])[H:20])=[C:14]([H:21])[H:22])[O:17][H:23]
2906,[C:18]([H:31])([H:32])[H:33].[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[N:7]([H:13])[H:14])[C:17]([C:16]([C:15]([H:25])([H:26])[H:27])([H:28])[H:29])([c:19]1[c:20]([H:34])[c:21]([H:35])[c:22]([H:36])[c:23]([H:37])[c:24]1[H:38])[H:30])([H:11])[H:12])([H:8])([H:9])[H:10]
2907,[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[O:7][H:13])[O:18][C:17]([H:12])([N:16]([C:15](=[C:14]([H:19])[H:20])[H:21])[H:22])[H:23])[H:11])([H:8])([H:9])[H:10]
2908,[C:1]([H:2])([H:3])([H:4])[C:6]([C:5]([H:11])([H:12])[H:13])([H:14])[H:15].[C:7]([C:8]([H:17])([H:18])[H:19])([O:9][C:10]([H:20])([H:21])[H:22])[H:16]
2909,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[O:7][H:17])[H:13])[H:12])([H:8])([H:9])[H:10].[H:11][C:19]([C:18]([H:23])([H:24])[H:25])([C:20]([H:26])([H:27])[H:28])[C:21]#[N:22]
2910,[C:3]([C:4](=[O:5])[O:6][C:7](=[C:8]([H:13])[H:14])[H:12])([H:10])[H:11].[O:1]([H:2])[H:9]
2911,[C:1]([H:7])([H:8])([H:9])[H:33].[C:21]([C:22]([C:23]([C:24]([H:34])([H:35])[H:36])=[C:25]([H:26])[H:27])([H:31])[H:32])([H:28])([H:29])[H:30].[C:2]([C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([H:15])([H:16])[H:17])[C:6]([H:18])([H:19])[H:20])([H:10])[H:11]
2912,[C:1]([O:2][C:3](=[O:4])[C:5]([C:6]([H:14])([H:15])[H:16])([C:7]([H:17])([H:18])[H:19])[C:8]([H:9])[H:10])([H:11])([H:12])[H:13].[C:20](=[C:21]([N:22]([C:23](=[O:24])[H:29])[H:28])[H:27])([H:25])[H:26]
2913,[C:12]([C:13]([C:14]([C:15]([H:25])([H:26])[H:27])([N:16]([C:17](=[O:18])[H:29])[H:28])[H:24])[H:22])([H:19])([H:20])[H:21].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[H:23])([H:6])([H:7])[H:8]
2914,[C:16](=[C:17]([H:24])[H:25])[H:23].[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[O:7][H:13])[C:15]([C:14]([H:18])([H:19])[H:20])([H:21])[H:22])([H:11])[H:12])([H:8])([H:9])[H:10]
2915,[C:1]([C:2]([C:3]([H:4])([H:5])[H:22])([C:6](=[O:7])[O:8][H:13])[H:12])([H:9])([H:10])[H:11].[N:14]([C:15](=[O:16])[C:17](=[C:18][H:23])[H:21])([H:19])[H:20]
2916,[C:17]([O:18][C:19]=[C:20]([H:25])[H:26])([H:21])([H:22])[H:23].[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])([C:5]([H:14])([H:15])[H:16])[H:24])([H:9])[H:10])([H:6])([H:7])[H:8]
2917,[C:3]([C:4](=[O:5])[O:6][C:7](=[C:8][H:13])[H:12])([H:9])([H:10])[H:11].[O:1]([H:2])[H:14]
2918,[C:1]([H:5])([H:6])[H:7].[O:2]([C:3](=[C:4]([H:9])[H:10])[H:8])[O:11][H:12]
2919,[C:16]([C:17]([C:18](=[C:19]([H:29])[H:31])[C:20](=[O:21])[O:22][C:23]([H:32])([H:33])[H:34])([H:27])[H:28])([H:24])([H:25])[H:26].[C:1]([O:2][C:3](=[O:4])[C:5]([C:6]([H:11])[H:12])([C:7]([H:13])([H:14])[H:15])[H:30])([H:8])([H:9])[H:10]
2920,[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[O:7][H:13])[C:16]([C:15]([C:14]([H:21])([H:22])[H:23])([H:24])[H:25])([C:17]([H:27])([H:28])[H:29])[H:26])([H:11])[H:12])([H:8])([H:9])[H:10].[N:18]([C:19](=[O:20])[H:31])[H:30]
2921,[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[C:18]([C:17]([C:15]([O:14][C:13]([C:12]([H:19])([H:20])[H:21])([H:22])[H:23])=[O:16])[H:24])([H:25])[H:26])([H:6])([H:7])[H:8]
2922,[O:1]([C:2](=[O:3])[C:4]([C:5]([H:8])[H:9])([H:7])[C:12]([C:11]([C:10]([H:17])([H:18])[H:19])([H:20])[H:21])([H:13])[N:14]([C:15](=[O:16])[H:23])[H:22])[H:6]
2923,[C:16]([C:17]([C:18]([H:19])[c:20]1[c:21]([H:31])[c:22]([H:32])[c:23]([H:33])[c:24]([H:34])[c:25]1[H:35])([H:29])[H:30])([H:26])([H:27])[H:28].[C:1]([C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
2924,[C:14]([C:15]([C:16]([C:17]([H:25])([H:26])[H:27])[C:19]([H:31])([H:32])[H:33])([H:23])[H:24])([H:20])([H:21])[H:22].[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[O:7][H:13])[C:18]([H:28])([H:29])[H:30])([H:11])[H:12])([H:8])([H:9])[H:10]
2925,[C:1]([C:2](=[C:3]([H:4])[C:5](=[O:6])[O:7][H:13])[H:11])([H:8])([H:9])[H:10].[H:12][C:17]([N:16]([C:15](=[C:14]([H:19])[H:20])[H:21])[H:22])([O:18])[H:23]
2926,[N:1]([C:2](=[O:3])[C:4]([C:5]([H:9])([H:10])[O:13][O:12][C:11]([H:14])([H:15])[H:16])[H:8])([H:6])[H:7]
2927,[C:1]([O:2][C:3](=[O:4])[C:5](=[C:6][H:11])[C:7]([H:13])([H:14])[H:15])([H:8])([H:9])[H:10].[H:12][C:23]([C:20]([C:18]([O:17][C:16]([H:26])([H:27])[H:28])=[O:19])([C:21]([H:29])([H:30])[H:31])[C:22]([H:32])([H:33])[H:34])([H:24])[H:25]
2928,[C:1]([C:2]([C:3]([H:8])([H:9])[C:15]([C:14]([C:13]([H:21])([H:22])[H:23])([H:24])[H:25])([C:16]([H:26])([H:27])[H:28])[C:17](=[O:18])[O:19][C:20]([H:29])([H:30])[H:31])[C:4]([H:10])([H:11])[H:12])([H:5])([H:6])[H:7]
2929,[C:1]([O:2][O:3][C:10]([H:20])([H:21])[H:22])([H:4])([H:5])[H:6].[C:7]([C:8]([C:9]([N:11]([C:12](=[O:13])[H:24])[H:23])[H:19])([H:17])[H:18])([H:14])([H:15])[H:16]
2930,[C:1]([H:5])([H:6])[H:7].[O:2]([C:3](=[C:4]([H:9])[H:10])[H:8])[C:13]([C:12]([C:11]([H:21])([H:22])[H:23])([H:24])[H:25])([H:14])[c:15]1[c:16]([H:26])[c:17]([H:27])[c:18]([H:28])[c:19]([H:29])[c:20]1[H:30]
2931,[C:1]([C:2]([H:3])([H:4])[C:13]([C:12]([O:11][C:9]([C:8]([H:14])([H:15])[H:16])=[O:10])[H:17])([H:18])[H:19])([H:5])([H:6])[H:7]
2932,[C:1]([O:2][C:13]([C:12]([C:11]([H:19])([H:20])[H:21])([N:16]([C:17](=[O:18])[H:24])[H:23])[H:22])([H:14])[H:15])([H:5])([H:6])[H:7].[C:3](=[C:4]([H:9])[H:10])[H:8]
2933,[C:13]([C:14](=[C:15]([H:16])[H:17])[c:18]1[c:19]([H:28])[c:20]([H:29])[c:21]([H:30])[c:22]([H:31])[c:23]1[H:32])([H:24])([H:25])[H:26].[C:1]([H:7])([H:8])([H:9])[H:27].[C:2](=[C:3]([H:10])[H:11])[C:4](=[O:5])[O:6][H:12]
2934,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[C:21]([C:20]([H:26])([H:27])[H:28])([C:22]([H:29])[H:30])[C:23](=[O:24])[O:25][H:31])([H:13])[H:14])([H:10])([H:11])[H:12]
2935,[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([N+:5]#[C-:4])[C:17]([N:16]([C:14]([C:13]([C:12]([H:19])([H:20])[H:21])([H:22])[H:23])([C:15]([H:25])([H:26])[H:27])[H:24])[H:28])([O:18])[H:29])([H:6])([H:7])[H:8]
2936,[C:1]([C:2]([H:3])([H:4])[C:9]([C:8]([H:14])([H:15])[H:16])([C:10]([H:17])[H:18])[C:11](=[O:12])[O:13][H:19])([H:5])([H:6])[H:7]
2937,[C:1]([O:2][O:3][C:7]([H:16])([H:17])[H:18])([H:4])([H:5])[H:6].[C:8]([C:9]([C:10]([H:21])([H:22])[H:23])([C:11]([H:24])([H:25])[H:26])[C:12](=[O:13])[O:14][C:15]([H:27])([H:28])[H:29])([H:19])[H:20]
2938,[C:1]([C:2](=[C:3]([H:10])[H:11])[C:4](=[O:5])[O:6][H:12])([H:8])[H:9].[H:7][C:13]([H:14])([H:15])[H:16]
2939,[C:2](=[O:3])([C:4](=[C:5]([H:8])[H:9])[H:7])[C:11]([C:10]([H:15])([H:16])[H:17])([C:12]([H:18])([H:19])[H:20])[C:13]#[N:14].[O:1][H:6]
2940,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])[C:20]([H:26])([H:27])[H:28])([H:12])[H:13])([H:9])([H:10])[H:11].[C:21](=[C:22]([H:29])[H:30])[C:23](=[O:24])[O:25][H:31]
2941,[C:1]([C:2]([c:3]1[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]([H:15])[c:8]1[H:16])([H:11])[C:19]([C:18]([C:17]([H:25])([H:26])[H:27])([N:22]([C:23](=[O:24])[H:30])[H:29])[H:28])([H:20])[H:21])([H:9])[H:10]
2942,[C:1]([C:2]([C:3]=[C:4]([H:11])[H:12])([H:8])[H:9])([H:5])([H:6])[H:7].[H:10][C:15]([C:14]([C:13]([H:23])([H:24])[H:25])([H:26])[H:27])([H:16])[c:17]1[c:18]([H:28])[c:19]([H:29])[c:20]([H:30])[c:21]([H:31])[c:22]1[H:32]
2943,[C:4](=[C:5]([c:6]1[c:7]([H:15])[c:8]([H:16])[c:9]([H:17])[c:10]([H:18])[c:11]1[H:19])[H:14])[H:13].[O:1]([O:2][H:12])[H:3]
2944,[C:1]([C:2]([C:3]([H:8])([H:9])[C:15]([C:14]([C:13]([H:21])([H:22])[H:23])([H:24])[H:25])([H:16])[O:17][C:18](=[O:19])[C:20]([H:26])([H:27])[H:28])[C:4]([H:10])([H:11])[H:12])([H:5])([H:6])[H:7]
2945,[C:15]([C:16]([C:17]([C:18]([H:31])([H:32])[H:33])([c:19]1[c:20]([H:34])[c:21][c:22]([H:36])[c:23]([H:37])[c:24]1[H:38])[H:30])([H:28])[H:29])([H:25])([H:26])[H:27].[C:1]([C:2]([C:3]([H:4])([H:5])[H:35])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11]
2946,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[N:7]([H:17])[H:18])[H:13])[H:11])([H:8])([H:9])[H:10].[H:12][C:24]([C:22]([O:21][C:20]([C:19]([H:28])([H:29])[H:30])([H:31])[H:32])=[O:23])([H:25])[C:26]([C:27]([H:35])([H:36])[H:37])([H:33])[H:34]
2947,[O:1][O:2][C:7]([C:6]([H:3])([O:5][C:4]([H:8])([H:9])[H:10])[H:11])([H:12])[H:13]
2948,[C:1]([C:2](=[C:3]([C:4]([H:14])([H:15])[H:16])[C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])[H:12])([H:9])([H:10])[H:11].[H:13][C:24]([O:23][C:21]([C:20]([H:26])([H:27])[H:28])=[O:22])([C:25]([H:30])[H:31])[H:29]
2949,[C:1]([C:2]([H:5])([H:6])[O:7][O:8][H:9])([H:3])[O:10][H:4]
2950,[C:1]([C:2](=[C:3]([H:4])[C:5](=[O:6])[N:7]([H:13])[H:14])[H:11])([H:8])([H:9])[H:10].[H:12][C:17]1([C:16](=[C:15]([H:23])[H:24])[H:25])[C:18]([H:26])[C:19]([H:27])=[C:20]([H:28])[C:21]([H:29])=[C:22]1[H:30]
2951,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([H:6])([H:7])[C:22]([C:21]([O:20][C:18]([C:17]([H:23])([H:24])[H:25])=[O:19])[H:26])([H:27])[H:28])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
2952,[C:14](=[C:15]([N:16]([C:17](=[O:18])[H:23])[H:22])[H:21])([H:19])[H:20].[C:1]([C:2]([C:3]([H:4])[H:5])([C:6](=[O:7])[O:8][H:13])[H:12])([H:9])([H:10])[H:11]
2953,[C:15]([C:16]([C:17]([N:19]([C:20](=[O:21])[H:32])[H:31])[H:27])([H:25])[H:26])([H:22])([H:23])[H:24].[C:1]([C:2]([C:3]([H:4])([O:5][C:6]([H:12])([H:13])[H:14])[C:18]([H:28])([H:29])[H:30])([H:10])[H:11])([H:7])([H:8])[H:9]
2954,[C:1]([C:2]([H:3])([H:4])[H:17])([H:5])([H:6])[H:7].[C:8]([C:9]([C:10]=[C:11]([H:18])[H:19])([H:15])[H:16])([H:12])([H:13])[H:14]
2955,[C:1]([O:2][C:3]1([C:5](=[C:6]([H:11])[H:12])[C:7]([H:13])([H:14])[H:15])[O:4][C:18]1([C:17]([C:16]([H:23])([H:24])[H:25])([H:26])[H:27])[C:19]([H:28])([H:29])[H:30])([H:8])([H:9])[H:10].[C:20](=[O:21])[O:22][H:31]
2956,[C:1]([C:2]([O:3][C:4]([O:5][C:24]([H:25])([H:26])[H:27])[C:6]([C:7]([H:16])([H:17])[H:18])([C:8]([C:9]([H:21])([H:22])[H:23])([H:19])[H:20])[H:15])([H:13])[H:14])([H:10])([H:11])[H:12]
2957,[C:1]([H:2])([H:3])([H:4])[H:17].[C:5]([C:6]([C:7]([C:8]([H:18])[H:19])([O:9][C:10]([H:20])([H:21])[H:22])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13]
2958,[C:17]([C:18]([C:19]([C:20]([H:33])[H:34])([c:21]1[c:22]([H:36])[c:23]([H:37])[c:24]([H:38])[c:25]([H:39])[c:26]1[H:40])[H:32])([H:30])[H:31])([H:27])([H:28])[H:29].[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:5])([H:6])[H:35])[C:7](=[O:8])[O:9][H:16])([H:10])([H:11])[H:12]
2959,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([N:5]([C:6]([O:7])([H:18])[C:21]([C:20]([C:19]([H:28])([H:29])[H:30])([O:24][C:25](=[O:26])[C:27]([H:32])([H:33])[H:34])[H:31])([H:22])[H:23])[H:17])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
2960,[C:19]([C:20]([H:28])[H:29])([H:25])([H:26])[H:27].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]1([N:7]([H:17])[H:18])[O:6][C:21]1([H:22])[O:23][C:24]([H:30])([H:31])[H:32])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
2961,[C:1]([O:2][C:16]([H:17])([H:18])[H:19])([H:8])([H:9])[H:10].[C:3](=[O:4])[C:5](=[C:6]([H:11])[H:12])[C:7]([H:13])([H:14])[H:15]
2962,[H:8][C:16]([C:14]([O:13][C:12]([C:11]([H:20])([H:21])[H:22])([H:23])[H:24])=[O:15])([H:17])[C:18]([C:19]([H:27])([H:28])[H:29])([H:25])[H:26].[N:1]([C:2](=[O:3])[C:4]=[C:5]([H:9])[H:10])([H:6])[H:7]
2963,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])=[C:8]([H:9])[H:10])([H:14])[H:15])([H:11])([H:12])[H:13].[H:16][C:25]([C:24]([C:22]([O:21][C:20]([H:27])([H:28])[H:29])=[O:23])[C:26]([H:32])([H:33])[H:34])([H:30])[H:31]
2964,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])=[C:8]([H:9])[H:10])([H:14])[H:15])([H:11])([H:12])[H:13].[H:16][C:23]([C:22]([O:21][C:20]([H:24])([H:25])[H:26])[H:27])([H:28])[H:29]
2965,[C:1]([O:2][C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([H:6])([H:7])[C:15]([C:16]([c:17]1[c:18]([H:26])[c:19]([H:27])[c:20]([H:28])[c:21]([H:29])[c:22]1[H:30])[H:25])([H:23])[H:24])[H:11])([H:8])([H:9])[H:10]
2966,[C:1](=[C:2]([H:3])[H:4])([H:6])[H:7].[C:8]([C:9]([C:10]([C:11]([H:22])[H:24])([C:12]([H:25])([H:26])[H:27])[C:13](=[O:14])[O:15][C:16]([H:28])([H:29])[H:30])([H:20])[H:21])([H:17])([H:18])[H:19].[H:5][H:23]
2967,[C:13]([C:14]([C:15]([H:16])=[O:17])([H:24])[H:25])([H:21])([H:22])[H:23].[C:1]([C:2](=[C:3]([H:10])[H:11])[C:4]=[O:5])([H:7])([H:8])[H:9].[O:6]([H:12])[C:18](=[O:19])[C:20]([H:26])([H:27])[H:28]
2968,[C:1]([C:2]([H:3])([H:4])[H:18])([H:5])([H:6])[H:7].[C:8]([C:9]([O:10][C:11](=[O:12])[C:13](=[C:14]([H:21])[H:22])[H:20])[H:19])([H:15])([H:16])[H:17]
2969,[C:13]([C:14](=[C:15]([C:16]([H:23])([H:24])[H:25])[C:17]([H:26])([H:27])[H:28])[H:22])([H:18])([H:19])[H:20].[C:1]([H:5])([H:6])([H:7])[H:21].[C:2](=[C:3]([H:8])[H:9])[C:4]([H:10])([H:11])[H:12]
2970,[C:11]([C:12](=[C:13]([H:14])[N:15]([C:16](=[O:17])[H:24])[H:23])[H:22])([H:18])([H:19])[H:20].[C:1]([C:2]([N:3]([C:4](=[O:5])[H:10])[H:9])[H:8])([H:6])([H:7])[H:21]
2971,[C:1]([C:2]([C:3]([C:4]([H:17])([H:18])[H:19])([C:5]1[C:6]([H:20])([C:27]([C:26]([C:25]([H:33])([H:34])[H:35])([H:36])[H:37])([H:28])[O:29][C:30](=[O:31])[C:32]([H:38])([H:39])[H:40])[C:7]([H:21])=[C:8]([H:22])[C:9]([H:23])=[C:10]1[H:24])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13]
2972,[C:17]([C:18](=[C:19]([H:20])[N:21]([C:22](=[O:23])[H:30])[H:29])[H:28])([H:24])([H:25])[H:26].[C:1](=[C:2][c:3]1[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]([H:15])[c:8]1[H:16])([H:9])[H:10].[H:11][H:27]
2973,[C:11]([C:12](=[C:13]([H:14])[H:15])[c:16]1[c:17]([H:26])[c:18]([H:27])[c:19]([H:28])[c:20]([H:29])[c:21]1[H:30])([H:22])([H:23])[H:24].[C:1]([O:2][C:3]([C:4]([H:9])([H:10])[H:25])[H:8])([H:5])([H:6])[H:7]
2974,[C:1]([C:2]([C:3]([H:10])[H:11])([C:4](=[O:5])[O:6][H:12])[C:15]([C:14]([C:13]([H:20])([H:21])[H:22])([H:23])[H:24])([H:16])[N:17]([C:18](=[O:19])[H:26])[H:25])([H:7])([H:8])[H:9]
2975,[C:1]([C:2](=[C:3]([H:4])[O:5][C:6]([H:12])([H:13])[H:14])[H:10])([H:7])([H:8])[H:9].[H:11][O:21][C:20]([N:19]([C:17]([C:16]([C:15]([H:22])([H:23])[H:24])([H:25])[H:26])([C:18]([H:28])([H:29])[H:30])[H:27])[H:31])[H:32]
2976,[C:16]([O:17][C:18](=[O:19])[C:20](=[C:21]([H:28])[H:29])[H:27])([H:25])[H:26].[C:1]([C:2]([C:3]([H:4])([H:5])[C:15]([H:22])([H:23])[H:24])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11]
2977,[C:16]([C:17]([C:18]([C:19]([H:26])([H:27])[H:28])=[C:20]([H:30])[H:31])([H:24])[H:25])([H:21])([H:22])[H:23].[C:1]([C:2]([O:3][C:4]([O:5])([C:6](=[C:7]([H:14])[H:15])[H:13])[H:29])([H:11])[H:12])([H:8])([H:9])[H:10]
2978,[C:16]([O:17][C:18](=[O:19])[C:20]([C:21]([H:29])([H:30])[H:31])([C:22]([H:32])([H:33])[H:34])[C:23]([H:24])[H:25])([H:26])([H:27])[H:28].[C:1]([O:2][C:3](=[O:4])[C:5](=[C:6]([H:11])[H:12])[C:7]([H:13])([H:14])[H:15])([H:8])([H:9])[H:10]
2979,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])([H:10])[C:22]([C:23]([H:33])([H:34])[H:35])([N:24]([C:25](=[O:26])[H:37])[H:36])[H:32])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[C:20]([C:21]([H:30])[H:31])([H:27])([H:28])[H:29]
2980,[C:15]([H:21])([H:22])[H:23].[C:1]([C:2](=[C:3]([H:4])[C:5](=[O:6])[N:7]([H:13])[H:14])[H:11])([H:8])([H:9])[H:10].[H:12][C:16]([C:17]([C:18]([H:26])([H:27])[H:28])([C:19]([H:29])([H:30])[H:31])[C:20]([H:32])([H:33])[H:34])([H:24])[H:25]
2981,[C:1]([C:2]([H:11])([H:12])[C:21]([C:19]([O:18][C:17]([C:16]([H:25])([H:26])[H:27])([H:28])[H:29])=[O:20])([H:22])[C:23]([C:24]([H:32])([H:33])[H:34])([H:30])[H:31])([H:8])([H:9])[H:10].[O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13]
2982,[C:1]([C:2](=[C:3]([H:4])[C:5](=[O:6])[O:7][H:13])[H:11])([H:8])([H:9])[H:10].[H:12][C:15]([C:14]([H:20])([H:21])[H:22])([O:16])[O:17][C:18](=[C:19]([H:24])[H:25])[H:23]
2983,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])([H:10])[C:22]1([C:21](=[C:20]([H:28])[H:29])[H:30])[C:23]([H:31])[C:24]([H:32])=[C:25]([H:33])[C:26]([H:34])=[C:27]1[H:35])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13]
2984,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[N:7][H:17])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[H:18][C:23]([C:21]([C:20]([C:19]([H:26])([H:27])[H:28])([H:29])[H:30])([C:22]([H:32])([H:33])[H:34])[H:31])([H:24])[H:25]
2985,[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])=[C:5]([H:15])[H:16])([H:9])[H:10])([H:6])([H:7])[H:8].[H:14][C:22]([C:21]([C:19]([O:18][C:17]([H:24])([H:25])[H:26])=[O:20])[C:23]([H:29])([H:30])[H:31])([H:27])[H:28]
2986,[C:10]([C:11](=[C:12]([H:13])[C:14]([C:15]([H:23])([H:24])[H:25])([H:21])[H:22])[H:19])([H:16])([H:17])[H:18].[O:1]([C:2]([O:3][H:20])[C:4](=[C:5]([H:8])[H:9])[H:7])[H:6]
2987,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[H:41])([H:13])[H:14])([H:10])([H:11])[H:12].[C:20]([C:21]([C:22]([C:23]([H:36])([H:37])[H:38])([c:24]1[c:25]([H:39])[c:26]([H:40])[c:27][c:28]([H:42])[c:29]1[H:43])[H:35])([H:33])[H:34])([H:30])([H:31])[H:32]
2988,[C:10]([C:11](=[C:12]([H:13])[c:14]1[c:15]([H:25])[c:16]([H:26])[c:17]([H:27])[c:18]([H:28])[c:19]1[H:29])[H:23])([H:20])([H:21])[H:22].[O:1]([C:2](=[O:3])[C:4]([C:5]([H:8])([H:9])[H:24])[H:7])[H:6]
2989,[C:15](=[C:16]([H:23])[H:24])[C:17](=[O:18])[O:19][H:25].[C:1]([C:2](=[C:3]([H:4])[C:5](=[O:6])[O:7][H:13])[H:11])([H:8])([H:9])[H:10].[H:12][C:14]([H:20])([H:21])[H:22]
2990,[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:5])([H:6])[C:22]([C:21]([O:20][C:18]([C:17]([H:23])([H:24])[H:25])=[O:19])[H:26])([H:27])[H:28])[C:7](=[O:8])[O:9][H:16])([H:10])([H:11])[H:12]
2991,[C:1]([C:2]([H:3])([H:4])[C:11]([O:10][C:9]([C:8]([H:15])([H:16])[H:17])([H:18])[H:19])([O:12])[C:13](=[C:14]([H:21])[H:22])[H:20])([H:5])([H:6])[H:7]
2992,[C:1]([C:2]([C:3]([H:4])([H:5])[N+:14]([C:15]([O-:16])[C:17](=[C:18]([H:22])[H:23])[H:21])([H:19])[H:20])([C:6](=[O:7])[O:8][H:13])[H:12])([H:9])([H:10])[H:11]
2993,[N+:1]([C:2]([O-:3])[C:4](=[C:5]([H:9])[H:10])[H:8])([H:6])([H:7])[C:13]([C:12]([C:11]([H:19])([H:20])[H:21])([N:16]([C:17](=[O:18])[H:24])[H:23])[H:22])([H:14])[H:15]
2994,[C:17](=[C:18][c:19]1[c:20]([H:28])[c:21]([H:29])[c:22]([H:30])[c:23]([H:31])[c:24]1[H:32])([H:25])[H:26].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([H:6])([H:7])[H:27])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
2995,[C:1]([H:2])([H:3])([H:4])[C:7]([C:8]([H:21])([H:22])[H:23])([c:9]1[c:10]([H:24])[c:11]([H:25])[c:12]([H:26])[c:13]([H:27])[c:14]1[H:28])[H:20].[C:5]([C:6]([H:18])[H:19])([H:15])([H:16])[H:17]
